idx,pass,fail,inconclusive,stage1_fail,pass_pct,fail_pct,inconclusive_pct
1,0,0,0,0,0.0,0.0,0.0
2,0,0,0,0,0.0,0.0,0.0
3,0,0,0,0,0.0,0.0,0.0
4,0,0,0,0,0.0,0.0,0.0
5,0,1,0,0,0.0,100.0,0.0
6,0,2,0,0,0.0,100.0,0.0
7,0,2,0,0,0.0,100.0,0.0
8,1,2,0,0,33.3,66.7,0.0
9,1,2,0,0,33.3,66.7,0.0
10,1,2,0,0,33.3,66.7,0.0
11,1,2,0,0,33.3,66.7,0.0
12,1,2,0,0,33.3,66.7,0.0
13,1,2,0,0,33.3,66.7,0.0
14,1,3,0,0,25.0,75.0,0.0
15,2,3,0,0,40.0,60.0,0.0
16,3,3,0,0,50.0,50.0,0.0
17,3,3,0,0,50.0,50.0,0.0
18,3,3,0,0,50.0,50.0,0.0
19,3,4,0,0,42.9,57.1,0.0
20,4,4,0,0,50.0,50.0,0.0
21,4,4,0,0,50.0,50.0,0.0
22,4,5,0,0,44.4,55.6,0.0
23,4,5,0,0,44.4,55.6,0.0
24,4,5,0,0,44.4,55.6,0.0
25,4,5,0,0,44.4,55.6,0.0
26,4,6,0,0,40.0,60.0,0.0
27,4,7,0,0,36.4,63.6,0.0
28,4,7,0,0,36.4,63.6,0.0
29,4,7,0,0,36.4,63.6,0.0
30,4,7,0,0,36.4,63.6,0.0
31,4,7,0,0,36.4,63.6,0.0
32,4,8,0,0,33.3,66.7,0.0
33,4,8,0,0,33.3,66.7,0.0
34,4,8,0,0,33.3,66.7,0.0
35,4,8,0,0,33.3,66.7,0.0
36,4,8,0,0,33.3,66.7,0.0
37,4,8,0,0,33.3,66.7,0.0
38,4,8,0,0,33.3,66.7,0.0
39,4,8,0,0,33.3,66.7,0.0
40,4,8,0,0,33.3,66.7,0.0
41,4,9,0,0,30.8,69.2,0.0
42,4,9,0,0,30.8,69.2,0.0
43,4,9,0,0,30.8,69.2,0.0
44,4,9,0,0,30.8,69.2,0.0
45,4,9,0,0,30.8,69.2,0.0
46,4,9,0,0,30.8,69.2,0.0
47,4,9,0,0,30.8,69.2,0.0
48,4,9,0,0,30.8,69.2,0.0
49,4,9,0,0,30.8,69.2,0.0
50,4,9,0,0,30.8,69.2,0.0
51,5,9,0,0,35.7,64.3,0.0
52,5,9,0,0,35.7,64.3,0.0
53,5,9,0,0,35.7,64.3,0.0
54,5,10,0,0,33.3,66.7,0.0
55,5,10,0,0,33.3,66.7,0.0
56,5,10,0,0,33.3,66.7,0.0
57,5,10,0,0,33.3,66.7,0.0
58,5,10,0,0,33.3,66.7,0.0
59,5,10,0,0,33.3,66.7,0.0
60,5,10,0,0,33.3,66.7,0.0
61,5,10,0,0,33.3,66.7,0.0
62,5,10,0,0,33.3,66.7,0.0
63,5,11,0,0,31.2,68.8,0.0
64,5,12,0,0,29.4,70.6,0.0
65,5,13,0,0,27.8,72.2,0.0
66,5,13,0,0,27.8,72.2,0.0
67,5,13,0,0,27.8,72.2,0.0
68,5,13,0,0,27.8,72.2,0.0
69,5,13,0,0,27.8,72.2,0.0
70,6,13,0,0,31.6,68.4,0.0
71,6,13,0,0,31.6,68.4,0.0
72,6,13,0,0,31.6,68.4,0.0
