idx,program_id,record_id,tier,complexity,stage1_ok,stage2_source,stage3_ran,verdict,verdict_summary,syntax_ok,paragraph_score,identifier_score,judge_ran,judge_score,judge_detail
1,IC217A,IC217A,simple,1.90,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,,,
2,IC104A,IC104A,simple,2.15,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,,,
3,ST120A,ST120A,simple,6.40,True,rule-based,False,PASS,All 5 active check(s) passed.,True,1.0,1.0,,,
4,CM103M,CM103M,medium,12.15,True,rule-based,False,STRUCTURAL_PASS,4 structural check(s) passed; behavioural checks skipped due to environment (python_smoke).,True,1.0,1.0,,,
5,SQ209M,SQ209M,medium,16.65,True,rule-based,False,STRUCTURAL_PASS,4 structural check(s) passed; behavioural checks skipped due to environment (python_smoke).,True,1.0,1.0,,,
6,IF107A,IF107A,medium,17.15,True,rule-based,False,STRUCTURAL_PASS,4 structural check(s) passed; behavioural checks skipped due to environment (python_smoke).,True,1.0,1.0,,,
7,SQ230A,SQ230A,medium,17.65,True,rule-based,False,STRUCTURAL_PASS,4 structural check(s) passed; behavioural checks skipped due to environment (python_smoke).,True,1.0,1.0,,,
8,RL211A,RL211A,medium,22.15,True,rule-based,False,STRUCTURAL_PASS,4 structural check(s) passed; behavioural checks skipped due to environment (python_smoke).,True,1.0,1.0,,,
